tier,method,client_id,client_test_pairs_mean,client_test_pairs_std,client_positive_rate_mean,client_positive_rate_std,threshold_at_95_recall_mean,threshold_at_95_recall_std,brier_mean,brier_std,ece_mean,ece_std,seeds
VCSL public-label audit,platt_calibrated_score,4,46.0,9.899494936611665,0.43492985002418966,0.0013683730647054558,0.1752034504209498,0.12304794687786193,0.15563979329862088,0.039237516041237125,0.16486283608075852,0.034839753747289856,"37,41"
VCSL public-label audit,platt_calibrated_score,5,409.0,125.86500705120545,0.5015625,0.0022097086912079927,0.19977269448410664,0.015382644460611031,0.10600329859864903,0.01007089532292222,0.05087266445128097,0.00648002171285561,"37,41"
VCSL public-label audit,platt_calibrated_score,6,550.6666666666666,465.9295368758385,0.48079966566361887,0.01898467746172005,0.41093153030045326,0.1837524458941408,0.12890234821109356,0.0379306002240264,0.09912896791515687,0.06344670813625673,"31,37,41"
VCSL public-label audit,platt_calibrated_score,7,163.5,57.27564927611035,0.48571257771401244,0.0144566307487924,0.10228170968213784,0.05056834264579705,0.14708158674277372,0.015447032342301097,0.09317522039593742,0.06159952391721256,"37,41"
VCSL public-label audit,platt_calibrated_score,8,146.0,100.2197585309404,0.4584680821147356,0.04140579407417961,0.274042327381719,0.3078366840325659,0.13965600492968408,0.029539689567521073,0.15639719162285373,0.007443013772546,"31,37,41"
VCSL public-label audit,platt_calibrated_score,9,181.33333333333334,178.37133551479997,0.48569520891896284,0.050033243987357735,0.3987357827802158,0.4294182545442061,0.155557235879723,0.015864023336479936,0.15447107221336817,0.09414430257032445,"31,37,41"
VCSL public-label audit,score_only_logistic,0,194.33333333333334,96.00173609541305,0.5248971715122831,0.008915003781583053,0.15968046097253275,0.08111924537635462,0.1320754814003304,0.039056099064282014,0.10791938155835218,0.005373167335152929,"31,37,41"
VCSL public-label audit,score_only_logistic,1,69.66666666666667,97.38754198219264,0.5425315425315426,0.02255825227602932,0.22262971616041805,0.09481043564188907,0.13374636804328596,0.09768415651880594,0.19303226062549594,0.1463987774201561,"31,37,41"
VCSL public-label audit,score_only_logistic,2,19.5,23.33452377915607,0.5,0.23570226039551584,0.5851397853087905,0.5552083114713418,0.1771299853257946,0.0036131824762325525,0.2657516420490138,0.0034792492956711965,"37,41"
VCSL public-label audit,score_only_logistic,3,232.66666666666666,86.92717258333745,0.5145145145145146,0.003998995866954627,0.1342930027687129,0.04780215466270177,0.12539325574648832,0.050843089267387565,0.0968954820950529,0.03704107117737429,"31,37,41"
VCSL public-label audit,score_only_logistic,4,46.0,9.899494936611665,0.43492985002418966,0.0013683730647054558,0.07458705840303796,0.0324281097069981,0.21420749142816453,0.039444611304601,0.21622946874212934,0.078637547143159,"37,41"
VCSL public-label audit,score_only_logistic,5,409.0,125.86500705120545,0.5015625,0.0022097086912079927,0.21397586861933188,0.01323906079094394,0.08499712477616767,0.0003590041747038927,0.041484095495449985,0.0059637782163915656,"37,41"
VCSL public-label audit,score_only_logistic,6,550.6666666666666,465.9295368758385,0.48079966566361887,0.01898467746172005,0.3429632453558941,0.15232057936752494,0.11583327105261722,0.012815278930314295,0.08332957390240538,0.02924552025023111,"31,37,41"
VCSL public-label audit,score_only_logistic,7,163.5,57.27564927611035,0.48571257771401244,0.0144566307487924,0.061729710934590634,0.021356936681668614,0.147596074102305,0.0186499798081939,0.11078277613643903,0.030599092419875372,"37,41"
VCSL public-label audit,score_only_logistic,8,146.0,100.2197585309404,0.4584680821147356,0.04140579407417961,0.18323391199261596,0.2158021845976472,0.13225068668698683,0.05234770386797363,0.12172031855010916,0.062211101642969356,"31,37,41"
VCSL public-label audit,score_only_logistic,9,181.33333333333334,178.37133551479997,0.48569520891896284,0.050033243987357735,0.22395187630497507,0.22807849312651465,0.13644794566066146,0.010666987979576168,0.17482121948901153,0.09122985855667629,"31,37,41"
