method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,scenario,seed
fedavgft_plain,multimodal,none,,,,0.9777424483306836,1.0,0.9777424483306836,615,0,0,14,629,fma_dropout_copy,37
fedavgft_plain,multimodal,none,,,,0.972176759410802,1.0,0.972176759410802,594,0,0,17,611,fma_lowpass_copy,37
fedavgft_plain,multimodal,none,,,,1.0,1.0,1.0,628,0,0,0,628,fma_noise_copy,37
fedavgft_plain,multimodal,none,,,,0.9277195518612216,0.0,0.0,0,200,2567,0,2767,fma_same_genre_negative,37
fedavgft_plain,multimodal,none,,,,0.9848484848484849,1.0,0.9848484848484849,520,0,0,8,528,fma_speed_copy,37
random,multimodal,none,,,,1.0,1.0,1.0,573,0,0,0,573,fma_crop_copy,41
random,multimodal,none,,,,0.0,0.0,0.0,0,259,0,0,259,fma_cross_genre_negative,41
random,multimodal,none,,,,1.0,1.0,1.0,620,0,0,0,620,fma_dropout_copy,41
random,multimodal,none,,,,1.0,1.0,1.0,592,0,0,0,592,fma_lowpass_copy,41
random,multimodal,none,,,,1.0,1.0,1.0,589,0,0,0,589,fma_noise_copy,41
random,multimodal,none,,,,0.0,0.0,0.0,0,2741,0,0,2741,fma_same_genre_negative,41
random,multimodal,none,,,,1.0,1.0,1.0,626,0,0,0,626,fma_speed_copy,41
video_similarity,multimodal,none,,,,1.0,1.0,1.0,573,0,0,0,573,fma_crop_copy,41
video_similarity,multimodal,none,,,,0.05791505791505792,0.0,0.0,0,244,15,0,259,fma_cross_genre_negative,41
video_similarity,multimodal,none,,,,1.0,1.0,1.0,620,0,0,0,620,fma_dropout_copy,41
video_similarity,multimodal,none,,,,1.0,1.0,1.0,592,0,0,0,592,fma_lowpass_copy,41
video_similarity,multimodal,none,,,,1.0,1.0,1.0,589,0,0,0,589,fma_noise_copy,41
video_similarity,multimodal,none,,,,0.04669828529733674,0.0,0.0,0,2613,128,0,2741,fma_same_genre_negative,41
video_similarity,multimodal,none,,,,1.0,1.0,1.0,626,0,0,0,626,fma_speed_copy,41
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,573,0,0,0,573,fma_crop_copy,41
audio_similarity,multimodal,none,,,,0.05791505791505792,0.0,0.0,0,244,15,0,259,fma_cross_genre_negative,41
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,620,0,0,0,620,fma_dropout_copy,41
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,592,0,0,0,592,fma_lowpass_copy,41
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,589,0,0,0,589,fma_noise_copy,41
