method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,client_id,seed
fedavgft_plain,multimodal,none,0.9974234772750695,0.9971827055820434,0.012779552715654952,0.9791332263242376,0.9597523219814241,1.0,310,13,300,0,623,6,31
fedavgft_plain,multimodal,none,0.9916319237641452,0.9914339286228339,0.043478260869565216,0.9181446111869032,0.8588235294117647,1.0,365,60,308,0,733,7,31
fedavg_plain,multimodal,none,0.9946183025130393,0.9943025361972779,0.033783783783783786,0.9139414802065404,0.8507462686567164,1.0,285,50,246,0,581,0,37
fedavg_plain,multimodal,none,0.9966809804974056,0.9966101406602229,0.017391304347826087,0.968609865470852,0.9779179810725552,0.9567901234567902,310,7,338,14,669,1,37
fedavg_plain,multimodal,none,0.9991709473957995,0.9992809119230521,0.0,0.9914529914529915,0.994475138121547,0.989010989010989,360,2,336,4,702,2,37
fedavg_plain,multimodal,none,0.9963952715629217,0.9964528941664378,0.010230179028132993,0.9287564766839378,0.8755760368663594,0.9973753280839895,380,54,337,1,772,3,37
fedavg_plain,multimodal,none,0.9905425584868093,0.9932930838424593,0.013937282229965157,0.9686411149825784,0.9590443686006825,0.9790940766550522,281,12,275,6,574,4,37
fedavg_plain,multimodal,none,0.9956907981967648,0.9965524375220829,0.007159904534606206,0.979706877113867,0.9746835443037974,0.9871794871794872,462,12,407,6,887,5,37
fedavg_plain,multimodal,none,0.9969654719921267,0.9969285641767274,0.01348314606741573,0.9707943925233645,0.9595238095238096,0.9805352798053528,403,17,428,8,856,6,37
fedavg_plain,multimodal,none,0.9931541405706333,0.9929648938075015,0.03549060542797495,0.9374348279457768,0.8888888888888888,1.0,480,60,419,0,959,7,37
fedprox_plain,multimodal,none,0.9946183025130393,0.9943025361972779,0.033783783783783786,0.9139414802065404,0.8507462686567164,1.0,285,50,246,0,581,0,37
fedprox_plain,multimodal,none,0.9966809804974056,0.9966101406602229,0.017391304347826087,0.968609865470852,0.9779179810725552,0.9567901234567902,310,7,338,14,669,1,37
fedprox_plain,multimodal,none,0.9991709473957995,0.9992809119230521,0.0,0.9914529914529915,0.994475138121547,0.989010989010989,360,2,336,4,702,2,37
fedprox_plain,multimodal,none,0.9963952715629216,0.9964528941664378,0.010230179028132993,0.9287564766839378,0.8755760368663594,0.9973753280839895,380,54,337,1,772,3,37
fedprox_plain,multimodal,none,0.9905425584868094,0.9932930838424593,0.013937282229965157,0.9686411149825784,0.9590443686006825,0.9790940766550522,281,12,275,6,574,4,37
fedprox_plain,multimodal,none,0.9956907981967649,0.9965524375220829,0.007159904534606206,0.979706877113867,0.9746835443037974,0.9871794871794872,462,12,407,6,887,5,37
fedprox_plain,multimodal,none,0.9969654719921267,0.9969285641767274,0.01348314606741573,0.9707943925233645,0.9595238095238096,0.9805352798053528,403,17,428,8,856,6,37
fedprox_plain,multimodal,none,0.9931628392484343,0.9929751049712978,0.03549060542797495,0.9374348279457768,0.8888888888888888,1.0,480,60,419,0,959,7,37
fedavg_secureagg,multimodal,none,0.9946183025130393,0.9943025361972779,0.033783783783783786,0.9139414802065404,0.8507462686567164,1.0,285,50,246,0,581,0,37
fedavg_secureagg,multimodal,none,0.9966809804974056,0.9966101406602229,0.017391304347826087,0.968609865470852,0.9779179810725552,0.9567901234567902,310,7,338,14,669,1,37
fedavg_secureagg,multimodal,none,0.9991709473957995,0.9992809119230521,0.0,0.9914529914529915,0.994475138121547,0.989010989010989,360,2,336,4,702,2,37
fedavg_secureagg,multimodal,none,0.9963952715629217,0.9964528941664378,0.010230179028132993,0.9287564766839378,0.8755760368663594,0.9973753280839895,380,54,337,1,772,3,37
fedavg_secureagg,multimodal,none,0.9905425584868093,0.9932930838424593,0.013937282229965157,0.9686411149825784,0.9590443686006825,0.9790940766550522,281,12,275,6,574,4,37
fedavg_secureagg,multimodal,none,0.9956907981967648,0.9965524375220829,0.007159904534606206,0.979706877113867,0.9746835443037974,0.9871794871794872,462,12,407,6,887,5,37
fedavg_secureagg,multimodal,none,0.9969654719921267,0.9969285641767274,0.01348314606741573,0.9707943925233645,0.9595238095238096,0.9805352798053528,403,17,428,8,856,6,37
fedavg_secureagg,multimodal,none,0.9931541405706333,0.9929648938075015,0.03549060542797495,0.9374348279457768,0.8888888888888888,1.0,480,60,419,0,959,7,37
fedavg_heagg,multimodal,none,0.9946183025130393,0.9943025361972779,0.033783783783783786,0.9139414802065404,0.8507462686567164,1.0,285,50,246,0,581,0,37
