round,method,privacy_mode,mean_client_loss,mode,encryption_time_sec,aggregation_time_sec,plain_bytes,protected_bytes,ciphertext_expansion,seed
22,fedavg,plain,0.29338800756362715,plain,1.1757947504520416e-05,6.565079092979431e-05,1680,1680,1.0,37
23,fedavg,plain,0.2930251567822594,plain,1.2211035937070847e-05,6.442470476031303e-05,1680,1680,1.0,37
24,fedavg,plain,0.2926959314318064,plain,1.3504177331924438e-05,7.092999294400215e-05,1680,1680,1.0,37
25,fedavg,plain,0.29239631120188536,plain,1.1615920811891556e-05,6.204424425959587e-05,1680,1680,1.0,37
26,fedavg,plain,0.29212284460872895,plain,1.2097880244255066e-05,6.742309778928757e-05,1680,1680,1.0,37
27,fedavg,plain,0.29187255202068446,plain,1.2794975191354752e-05,7.014395669102669e-05,1680,1680,1.0,37
28,fedavg,plain,0.2916428485841256,plain,1.2410338968038559e-05,6.801914423704147e-05,1680,1680,1.0,37
29,fedavg,plain,0.2914314822810325,plain,1.2238975614309311e-05,6.702914834022522e-05,1680,1680,1.0,37
30,fedavg,plain,0.2912364836324575,plain,1.1865049600601196e-05,6.869900971651077e-05,1680,1680,1.0,37
31,fedavg,plain,0.29105612446934603,plain,1.2136995792388916e-05,7.052719593048096e-05,1680,1680,1.0,37
32,fedavg,plain,0.29088888384121153,plain,1.334119588136673e-05,6.59450888633728e-05,1680,1680,1.0,37
33,fedavg,plain,0.2907334196026562,plain,1.2410338968038559e-05,6.495974957942963e-05,1680,1680,1.0,37
34,fedavg,plain,0.290588544560995,plain,1.2478791177272797e-05,6.604800000786781e-05,1680,1680,1.0,37
35,fedavg,plain,0.29045320632183885,plain,1.0784249752759933e-05,6.37671910226345e-05,1680,1680,1.0,37
36,fedavg,plain,0.2903264701587508,plain,1.0347925126552582e-05,6.525591015815735e-05,1680,1680,1.0,37
37,fedavg,plain,0.29020750437572357,plain,1.102173700928688e-05,6.402283906936646e-05,1680,1680,1.0,37
38,fedavg,plain,0.290095567739774,plain,1.2254808098077774e-05,6.501981988549232e-05,1680,1680,1.0,37
39,fedavg,plain,0.28998999864432956,plain,1.190975308418274e-05,6.788736209273338e-05,1680,1680,1.0,37
40,fedavg,plain,0.2898902057287274,plain,1.2141652405261993e-05,7.23227858543396e-05,1680,1680,1.0,37
1,fedprox,plain,0.4090493905568656,plain,1.3369135558605194e-05,7.037166506052017e-05,1680,1680,1.0,37
2,fedprox,plain,0.3621893773450764,plain,1.1205673217773438e-05,6.52647577226162e-05,1680,1680,1.0,37
3,fedprox,plain,0.3413630172897572,plain,1.1340249329805374e-05,6.476510316133499e-05,1680,1680,1.0,37
4,fedprox,plain,0.3292898258999801,plain,1.0561197996139526e-05,6.350502371788025e-05,1680,1680,1.0,37
5,fedprox,plain,0.32136847187397727,plain,1.0324176400899887e-05,6.382865831255913e-05,1680,1680,1.0,37
6,fedprox,plain,0.3157747463635633,plain,1.0310672223567963e-05,6.221979856491089e-05,1680,1680,1.0,37
7,fedprox,plain,0.3116206513412686,plain,1.3797078281641006e-05,7.58250243961811e-05,1680,1680,1.0,37
8,fedprox,plain,0.3084179419983003,plain,1.2353062629699707e-05,7.140915840864182e-05,1680,1680,1.0,37
9,fedprox,plain,0.3058757090999149,plain,1.1696014553308487e-05,6.567174568772316e-05,1680,1680,1.0,37
10,fedprox,plain,0.30381025387215577,plain,1.195073127746582e-05,6.73527829349041e-05,1680,1680,1.0,37
11,fedprox,plain,0.3021002145466162,plain,1.1921394616365433e-05,7.496867328882217e-05,1680,1680,1.0,37
12,fedprox,plain,0.30066238250788363,plain,1.1914875358343124e-05,7.177703082561493e-05,1680,1680,1.0,37
13,fedprox,plain,0.29943787719091974,plain,1.078099012374878e-05,6.915396079421043e-05,1680,1680,1.0,37
14,fedprox,plain,0.29838387024193497,plain,1.0902993381023407e-05,6.379978731274605e-05,1680,1680,1.0,37
15,fedprox,plain,0.2974684421167559,plain,1.2085773050785065e-05,6.276462227106094e-05,1680,1680,1.0,37
16,fedprox,plain,0.29666728267892406,plain,1.1628959327936172e-05,6.390782073140144e-05,1680,1680,1.0,37
17,fedprox,plain,0.2959615157717409,plain,1.050904393196106e-05,6.505195051431656e-05,1680,1680,1.0,37
18,fedprox,plain,0.295336229514445,plain,1.3611279428005219e-05,7.652817294001579e-05,1680,1680,1.0,37
19,fedprox,plain,0.29477946131644134,plain,1.147296279668808e-05,7.047085091471672e-05,1680,1680,1.0,37
20,fedprox,plain,0.29428148268099946,plain,1.0869000107049942e-05,6.478605791926384e-05,1680,1680,1.0,37
21,fedprox,plain,0.29383428578685133,plain,1.1757947504520416e-05,6.828596815466881e-05,1680,1680,1.0,37
22,fedprox,plain,0.2934312084688412,plain,1.3954006135463715e-05,7.464224472641945e-05,1680,1680,1.0,37
23,fedprox,plain,0.29306665579639163,plain,1.2394040822982788e-05,7.10710883140564e-05,1680,1680,1.0,37
24,fedprox,plain,0.2927358901796077,plain,1.0797753930091858e-05,6.475625559687614e-05,1680,1680,1.0,37
25,fedprox,plain,0.29243487083910547,plain,1.0260846465826035e-05,6.39110803604126e-05,1680,1680,1.0,37
26,fedprox,plain,0.29216012935374064,plain,1.0744668543338776e-05,6.366195157170296e-05,1680,1680,1.0,37
27,fedprox,plain,0.29190867194224207,plain,1.0343734174966812e-05,6.120279431343079e-05,1680,1680,1.0,37
28,fedprox,plain,0.29167790181737535,plain,1.1235009878873825e-05,6.259605288505554e-05,1680,1680,1.0,37
