round,method,privacy_mode,mean_client_loss,mode,encryption_time_sec,aggregation_time_sec,plain_bytes,protected_bytes,ciphertext_expansion,seed
11,fedavg,secureagg,0.18127752329647084,secureagg,3.5730190575122833e-06,1.8188729882240295e-05,1344,2688,2.0,31
12,fedavg,secureagg,0.17747274454575693,secureagg,3.269873559474945e-06,2.3079104721546173e-05,1344,2688,2.0,31
13,fedavg,secureagg,0.1740359204775852,secureagg,3.1050294637680054e-06,1.768907532095909e-05,1344,2688,2.0,31
14,fedavg,secureagg,0.17091275932234407,secureagg,2.6440247893333435e-06,1.699291169643402e-05,1344,2688,2.0,31
15,fedavg,secureagg,0.1680603389298166,secureagg,2.9997900128364563e-06,1.674378290772438e-05,1344,2688,2.0,31
16,fedavg,secureagg,0.1654439515362392,secureagg,2.6850029826164246e-06,1.6903970390558243e-05,1344,2688,2.0,31
17,fedavg,secureagg,0.16303501288597133,secureagg,2.8870999813079834e-06,1.68713741004467e-05,1344,2688,2.0,31
18,fedavg,secureagg,0.16080962844876384,secureagg,3.0030496418476105e-06,1.7527956515550613e-05,1344,2688,2.0,31
19,fedavg,secureagg,0.15874757927059352,secureagg,3.4729018807411194e-06,1.8470920622348785e-05,1344,2688,2.0,31
20,fedavg,secureagg,0.15683158422276866,secureagg,2.9918737709522247e-06,1.9121915102005005e-05,1344,2688,2.0,31
21,fedavg,secureagg,0.15504674958269482,secureagg,3.1976960599422455e-06,1.8366146832704544e-05,1344,2688,2.0,31
22,fedavg,secureagg,0.15338014900463012,secureagg,3.4496188163757324e-06,1.772819086909294e-05,1344,2688,2.0,31
23,fedavg,secureagg,0.15182049652833451,secureagg,3.109220415353775e-06,1.706695184111595e-05,1344,2688,2.0,31
24,fedavg,secureagg,0.15035788752466595,secureagg,2.56439670920372e-06,1.6467180103063583e-05,1344,2688,2.0,31
25,fedavg,secureagg,0.14898359031934943,secureagg,2.9387883841991425e-06,1.5895813703536987e-05,1344,2688,2.0,31
26,fedavg,secureagg,0.14768987636653602,secureagg,2.908986061811447e-06,1.7074868083000183e-05,1344,2688,2.0,31
27,fedavg,secureagg,0.14646988027011362,secureagg,2.942979335784912e-06,1.7058104276657104e-05,1344,2688,2.0,31
28,fedavg,secureagg,0.1453174832847723,secureagg,2.5280751287937164e-06,1.6089994460344315e-05,1344,2688,2.0,31
29,fedavg,secureagg,0.14422721554947476,secureagg,2.7478672564029694e-06,1.611793413758278e-05,1344,2688,2.0,31
30,fedavg,secureagg,0.14319417345232932,secureagg,2.8810463845729828e-06,1.726485788822174e-05,1344,2688,2.0,31
1,fedavg,heagg,0.33404971052945653,heagg,4.6255066990852356e-05,2.5834888219833374e-05,1344,21504,16.0,31
2,fedavg,heagg,0.2744877975397149,heagg,2.1455809473991394e-05,2.2752676159143448e-05,1344,21504,16.0,31
3,fedavg,heagg,0.24727998297125753,heagg,1.9375234842300415e-05,2.0320061594247818e-05,1344,21504,16.0,31
4,fedavg,heagg,0.23058039420449467,heagg,1.9914936274290085e-05,2.0304694771766663e-05,1344,21504,16.0,31
5,fedavg,heagg,0.21871004036859187,heagg,1.9999686628580093e-05,1.9766390323638916e-05,1344,21504,16.0,31
6,fedavg,heagg,0.2095297575381618,heagg,1.9476749002933502e-05,1.963973045349121e-05,1344,21504,16.0,31
7,fedavg,heagg,0.20204904657624975,heagg,1.9791070371866226e-05,1.916615292429924e-05,1344,21504,16.0,31
8,fedavg,heagg,0.1957415434614437,heagg,1.918710768222809e-05,2.1685846149921417e-05,1344,21504,16.0,31
9,fedavg,heagg,0.1902977527698836,heagg,1.9595026969909668e-05,1.934124156832695e-05,1344,21504,16.0,31
10,fedavg,heagg,0.18552083574272338,heagg,2.0739156752824783e-05,2.2181309759616852e-05,1344,21504,16.0,31
11,fedavg,heagg,0.181277505229472,heagg,1.9783154129981995e-05,2.033170312643051e-05,1344,21504,16.0,31
12,fedavg,heagg,0.17747272973441047,heagg,1.9558239728212357e-05,2.0559877157211304e-05,1344,21504,16.0,31
13,fedavg,heagg,0.1740359060726484,heagg,1.9974075257778168e-05,2.0469073206186295e-05,1344,21504,16.0,31
14,fedavg,heagg,0.17091273057677153,heagg,2.027209848165512e-05,2.212636172771454e-05,1344,21504,16.0,31
15,fedavg,heagg,0.16806030180975307,heagg,1.994473859667778e-05,2.0150095224380493e-05,1344,21504,16.0,31
16,fedavg,heagg,0.16544391594789373,heagg,1.9624829292297363e-05,1.960666850209236e-05,1344,21504,16.0,31
17,fedavg,heagg,0.16303498319760218,heagg,2.0185019820928574e-05,2.0578037947416306e-05,1344,21504,16.0,31
18,fedavg,heagg,0.16080960020180224,heagg,1.99279747903347e-05,1.9931700080633163e-05,1344,21504,16.0,31
19,fedavg,heagg,0.15874754535035082,heagg,2.081785351037979e-05,2.0320992916822433e-05,1344,21504,16.0,31
20,fedavg,heagg,0.1568315599852424,heagg,1.9881408661603928e-05,2.0239967852830887e-05,1344,21504,16.0,31
21,fedavg,heagg,0.15504672063997613,heagg,5.299597978591919e-05,2.0788051187992096e-05,1344,21504,16.0,31
22,fedavg,heagg,0.15338013253152585,heagg,2.0239967852830887e-05,2.012168988585472e-05,1344,21504,16.0,31
23,fedavg,heagg,0.15182047740299726,heagg,1.980876550078392e-05,2.0067207515239716e-05,1344,21504,16.0,31
24,fedavg,heagg,0.15035787004899498,heagg,2.175336703658104e-05,2.0526815205812454e-05,1344,21504,16.0,31
25,fedavg,heagg,0.1489835803470117,heagg,2.03731469810009e-05,1.940270885825157e-05,1344,21504,16.0,31
26,fedavg,heagg,0.14768986330954498,heagg,2.0783860236406326e-05,2.1134968847036362e-05,1344,21504,16.0,31
27,fedavg,heagg,0.14646986849349083,heagg,2.047419548034668e-05,2.0976178348064423e-05,1344,21504,16.0,31
28,fedavg,heagg,0.1453174680461554,heagg,1.929188147187233e-05,2.082809805870056e-05,1344,21504,16.0,31
29,fedavg,heagg,0.1442271934925617,heagg,1.9691884517669678e-05,1.9919127225875854e-05,1344,21504,16.0,31
30,fedavg,heagg,0.14319415042562586,heagg,1.934124156832695e-05,1.950794830918312e-05,1344,21504,16.0,31
1,fedavgft_base,plain,0.33404971052945653,plain,3.2121315598487854e-06,1.9880011677742004e-05,1344,1344,1.0,31
2,fedavgft_base,plain,0.27448778816635044,plain,2.6649795472621918e-06,1.70278362929821e-05,1344,1344,1.0,31
3,fedavgft_base,plain,0.24727999155083732,plain,2.946704626083374e-06,1.733889803290367e-05,1344,1344,1.0,31
4,fedavgft_base,plain,0.23058040569643676,plain,2.4437904357910156e-06,1.641223207116127e-05,1344,1344,1.0,31
5,fedavgft_base,plain,0.21871004612203815,plain,2.8531067073345184e-06,1.7364975064992905e-05,1344,1344,1.0,31
6,fedavgft_base,plain,0.20952975660257797,plain,2.7832575142383575e-06,1.7705373466014862e-05,1344,1344,1.0,31
7,fedavgft_base,plain,0.2020490551996788,plain,2.6640482246875763e-06,1.7076730728149414e-05,1344,1344,1.0,31
8,fedavgft_base,plain,0.19574156178686908,plain,2.973247319459915e-06,1.6723759472370148e-05,1344,1344,1.0,31
9,fedavgft_base,plain,0.19029777587537633,plain,2.9909424483776093e-06,1.7718877643346786e-05,1344,1344,1.0,31
10,fedavgft_base,plain,0.1855208636007847,plain,2.4400651454925537e-06,1.7062760889530182e-05,1344,1344,1.0,31
11,fedavgft_base,plain,0.18127752329647084,plain,2.598855644464493e-06,1.6890931874513626e-05,1344,1344,1.0,31
12,fedavgft_base,plain,0.17747274454575693,plain,2.9457733035087585e-06,1.6280915588140488e-05,1344,1344,1.0,31
13,fedavgft_base,plain,0.1740359204775852,plain,2.4065375328063965e-06,1.596705988049507e-05,1344,1344,1.0,31
14,fedavgft_base,plain,0.17091275932234407,plain,2.9169023036956787e-06,1.655612140893936e-05,1344,1344,1.0,31
15,fedavgft_base,plain,0.1680603389298166,plain,3.0300579965114594e-06,1.7239712178707123e-05,1344,1344,1.0,31
16,fedavgft_base,plain,0.1654439515362392,plain,2.988148480653763e-06,2.0273029804229736e-05,1344,1344,1.0,31
17,fedavgft_base,plain,0.16303501288597133,plain,3.02167609333992e-06,1.7697922885417938e-05,1344,1344,1.0,31
