method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,client_id,seed
fedavg_secureagg,multimodal,none,0.44925874519743325,0.6037413174662304,0.9680365296803652,0.6412556053811659,0.9036144578313253,0.3303964757709251,75,8,211,152,446,9,41
fedavg_heagg,multimodal,none,0.4713389691846196,0.5317910186809345,0.9473684210526315,0.5300261096605744,0.7407407407407407,0.10362694300518134,20,7,183,173,383,0,41
fedavg_heagg,multimodal,none,1.0,1.0,0.0,1.0,1.0,1.0,12,0,12,0,24,1,41
fedavg_heagg,multimodal,none,0.7145460066808381,0.7376666699586916,0.8164794007490637,0.5931558935361216,0.8813559322033898,0.20077220077220076,52,7,260,207,526,3,41
fedavg_heagg,multimodal,none,0.6530032467532467,0.6565151849099474,0.953125,0.46099290780141844,1.0,0.012987012987012988,1,0,64,76,141,4,41
fedavg_heagg,multimodal,none,0.9804643573743743,0.9811959546536992,0.05069124423963134,0.9436619718309859,0.964824120603015,0.9186602870813397,192,7,210,17,426,5,41
fedavg_heagg,multimodal,none,0.9985889596784538,0.99829967368494,0.007326007326007326,0.9943396226415094,0.9922480620155039,0.9961089494163424,256,2,271,1,530,6,41
fedavg_heagg,multimodal,none,0.31449468085106386,0.44782524550533287,0.9945652173913043,0.510752688172043,1.0,0.031914893617021274,6,0,184,182,372,7,41
fedavg_heagg,multimodal,none,0.34546084546084543,0.4709395567949606,1.0,0.4868421052631579,0.0,0.0,0,0,74,78,152,8,41
fedavg_heagg,multimodal,none,0.44925874519743325,0.6037413174662304,0.9680365296803652,0.6412556053811659,0.9036144578313253,0.3303964757709251,75,8,211,152,446,9,41
